Date,Category,IncidntNum
09/01/2013 12:00:00 AM,LARCENY/THEFT,3604
02/01/2014 12:00:00 AM,STOLEN PROPERTY,99
07/01/2012 12:00:00 AM,STOLEN PROPERTY,73
04/01/2009 12:00:00 AM,VEHICLE THEFT,395
12/01/2011 12:00:00 AM,ARSON,12
12/01/2015 12:00:00 AM,VANDALISM,547
10/01/2008 12:00:00 AM,BURGLARY,494
01/01/2008 12:00:00 AM,ARSON,16
11/01/2011 12:00:00 AM,VANDALISM,541
12/01/2006 12:00:00 AM,VEHICLE THEFT,613
12/01/2012 12:00:00 AM,BURGLARY,550
11/01/2009 12:00:00 AM,ARSON,25
07/01/2009 12:00:00 AM,ARSON,30
02/01/2015 12:00:00 AM,VEHICLE THEFT,552
05/01/2015 12:00:00 AM,ARSON,30
01/01/2015 12:00:00 AM,BURGLARY,495
05/01/2014 12:00:00 AM,VEHICLE THEFT,641
05/01/2006 12:00:00 AM,BURGLARY,621
06/01/2014 12:00:00 AM,ARSON,25
12/01/2008 12:00:00 AM,VEHICLE THEFT,488
10/01/2012 12:00:00 AM,VEHICLE THEFT,551
05/01/2011 12:00:00 AM,VANDALISM,601
06/01/2010 12:00:00 AM,ARSON,22
12/01/2005 12:00:00 AM,BURGLARY,559
01/01/2012 12:00:00 AM,VANDALISM,605
01/01/2011 12:00:00 AM,BURGLARY,442
06/01/2007 12:00:00 AM,STOLEN PROPERTY,54
12/01/2009 12:00:00 AM,ARSON,13
06/01/2013 12:00:00 AM,ARSON,20
02/01/2009 12:00:00 AM,VEHICLE THEFT,403
09/01/2011 12:00:00 AM,ARSON,18
06/01/2008 12:00:00 AM,BURGLARY,438
08/01/2005 12:00:00 AM,ARSON,20
06/01/2006 12:00:00 AM,BURGLARY,600
11/01/2013 12:00:00 AM,ARSON,24
10/01/2013 12:00:00 AM,BURGLARY,525
02/01/2012 12:00:00 AM,LARCENY/THEFT,2112
08/01/2014 12:00:00 AM,BURGLARY,479
05/01/2007 12:00:00 AM,BURGLARY,426
05/01/2013 12:00:00 AM,LARCENY/THEFT,2710
11/01/2014 12:00:00 AM,LARCENY/THEFT,3495
06/01/2007 12:00:00 AM,VEHICLE THEFT,488
01/01/2005 12:00:00 AM,ARSON,21
02/01/2009 12:00:00 AM,STOLEN PROPERTY,50
03/01/2014 12:00:00 AM,ARSON,13
03/01/2012 12:00:00 AM,BURGLARY,475
10/01/2006 12:00:00 AM,LARCENY/THEFT,2386
12/01/2008 12:00:00 AM,STOLEN PROPERTY,43
10/01/2012 12:00:00 AM,STOLEN PROPERTY,82
10/01/2014 12:00:00 AM,LARCENY/THEFT,3630
03/01/2011 12:00:00 AM,LARCENY/THEFT,2264
02/01/2015 12:00:00 AM,STOLEN PROPERTY,84
01/01/2007 12:00:00 AM,VANDALISM,648
05/01/2014 12:00:00 AM,STOLEN PROPERTY,89
12/01/2006 12:00:00 AM,STOLEN PROPERTY,32
08/01/2015 12:00:00 AM,VANDALISM,729
02/01/2008 12:00:00 AM,ARSON,12
01/01/2010 12:00:00 AM,LARCENY/THEFT,2116
09/01/2010 12:00:00 AM,BURGLARY,385
02/01/2005 12:00:00 AM,ARSON,17
04/01/2009 12:00:00 AM,STOLEN PROPERTY,53
06/01/2005 12:00:00 AM,ARSON,23
11/01/2010 12:00:00 AM,BURGLARY,382
04/01/2012 12:00:00 AM,LARCENY/THEFT,2325
03/01/2009 12:00:00 AM,ARSON,16
02/01/2013 12:00:00 AM,BURGLARY,440
01/01/2006 12:00:00 AM,LARCENY/THEFT,2351
08/01/2012 12:00:00 AM,VANDALISM,663
02/01/2011 12:00:00 AM,ARSON,19
04/01/2010 12:00:00 AM,STOLEN PROPERTY,58
02/01/2014 12:00:00 AM,VEHICLE THEFT,442
05/01/2008 12:00:00 AM,VANDALISM,635
07/01/2012 12:00:00 AM,VEHICLE THEFT,600
10/01/2011 12:00:00 AM,VEHICLE THEFT,513
09/01/2015 12:00:00 AM,ARSON,16
07/01/2006 12:00:00 AM,BURGLARY,656
05/01/2009 12:00:00 AM,STOLEN PROPERTY,48
08/01/2006 12:00:00 AM,VANDALISM,687
09/01/2014 12:00:00 AM,LARCENY/THEFT,3266
11/01/2005 12:00:00 AM,STOLEN PROPERTY,32
06/01/2010 12:00:00 AM,VANDALISM,715
01/01/2010 12:00:00 AM,VEHICLE THEFT,366
05/01/2011 12:00:00 AM,ARSON,14
06/01/2014 12:00:00 AM,VANDALISM,508
05/01/2015 12:00:00 AM,VANDALISM,672
01/01/2006 12:00:00 AM,VEHICLE THEFT,609
01/01/2009 12:00:00 AM,BURGLARY,441
07/01/2009 12:00:00 AM,VANDALISM,675
09/01/2006 12:00:00 AM,BURGLARY,562
04/01/2012 12:00:00 AM,VEHICLE THEFT,473
09/01/2013 12:00:00 AM,STOLEN PROPERTY,118
02/01/2014 12:00:00 AM,LARCENY/THEFT,2549
11/01/2013 12:00:00 AM,VANDALISM,516
07/01/2012 12:00:00 AM,LARCENY/THEFT,2564
